"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=1 Win=200 Len=0 TSval=132018536 TSecr=1082454183"
"2","0.001294","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"3","0.001296","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"4","0.008835","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=1441 Win=211 Len=0 TSval=132018538 TSecr=1082454183"
"5","0.008882","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"6","0.008883","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"7","0.014326","192.168.0.1","239.255.255.250","SSDP","325","NOTIFY * HTTP/1.1 "
"8","0.014400","192.168.0.1","239.255.255.250","SSDP","316","NOTIFY * HTTP/1.1 "
"9","0.014460","192.168.0.1","239.255.255.250","SSDP","368","NOTIFY * HTTP/1.1 "
"10","0.014525","192.168.0.1","239.255.255.250","SSDP","380","NOTIFY * HTTP/1.1 "
"11","0.014585","192.168.0.1","239.255.255.250","SSDP","382","NOTIFY * HTTP/1.1 "
"12","0.014660","192.168.0.1","239.255.255.250","SSDP","396","NOTIFY * HTTP/1.1 "
"13","0.123719","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=2881 Win=222 Len=0 TSval=132018567 TSecr=1082454306"
"14","0.123758","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"15","0.132588","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=4321 Win=233 Len=0 TSval=132018569 TSecr=1082454306"
"16","0.132702","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"17","0.140648","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=5761 Win=245 Len=0 TSval=132018571 TSecr=1082454314"
"18","0.140672","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"19","0.149626","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=7201 Win=256 Len=0 TSval=132018573 TSecr=1082454314"
"20","0.149718","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"21","0.158508","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=8641 Win=267 Len=0 TSval=132018576 TSecr=1082454322"
"22","0.158559","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"23","0.167407","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=10081 Win=278 Len=0 TSval=132018578 TSecr=1082454322"
"24","0.167458","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"25","0.176027","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=11521 Win=290 Len=0 TSval=132018580 TSecr=1082454331"
"26","0.176117","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"27","0.184458","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=12961 Win=301 Len=0 TSval=132018582 TSecr=1082454331"
"28","0.184519","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"29","0.193094","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=14401 Win=312 Len=0 TSval=132018584 TSecr=1082454349"
"30","0.193123","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"31","0.193327","192.168.0.86","185.118.124.154","TCP","54","61273  >  80 [ACK] Seq=1 Ack=1 Win=4127 Len=0"
"32","0.201984","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=15841 Win=323 Len=0 TSval=132018586 TSecr=1082454349"
"33","0.202036","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"34","0.209794","52.42.164.78","192.168.0.86","TCP","78","[TCP Window Update] 443  >  63250 [ACK] Seq=1 Ack=15841 Win=335 Len=0 TSval=132018588 TSecr=1082454349 SLE=17281 SRE=18721"
"35","0.209812","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"36","0.218933","185.118.124.154","192.168.0.86","TCP","78","[TCP ACKed unseen segment] 80  >  61273 [ACK] Seq=1 Ack=2 Win=543 Len=0 TSval=618995895 TSecr=1081734214 SLE=1 SRE=1"
"37","0.218935","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=18721 Win=346 Len=0 TSval=132018591 TSecr=1082454357"
"38","0.219007","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"39","0.243800","192.168.0.86","17.188.140.184","TCP","54","60864  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"40","0.292802","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=20161 Win=357 Len=0 TSval=132018609 TSecr=1082454471"
"41","0.292868","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"42","0.292868","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"43","0.301875","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=21601 Win=368 Len=0 TSval=132018611 TSecr=1082454479"
"44","0.301901","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"45","0.301902","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"46","0.310602","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=23041 Win=380 Len=0 TSval=132018614 TSecr=1082454487"
"47","0.310748","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"48","0.310748","192.168.0.86","52.42.164.78","TCP","1506","63250  >  443 [ACK] Seq=43201 Ack=1 Win=4096 Len=1440 TSval=1082454648 TSecr=132018614"
"49","0.319069","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=24481 Win=391 Len=0 TSval=132018616 TSecr=1082454495"
"50","0.319144","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"51","0.319145","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"52","0.327578","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=25921 Win=402 Len=0 TSval=132018618 TSecr=1082454503"
